Number,Name,Description,Price,Image Url
3,Toyota Land Cruiser Prado,"2012 г., 2.7 л., автомат внедорожник 5 дв., бензин руль слева, 108 000 км","$ 33 000
                                                                                                                                         
                                                                                                                                                                                         2 900 040 сом",https://im.mashina.kg/tachka/images//9/7/2/97265434c0e5d4ba261fd3a5543ef7c7_240x180.jpg
3,Kia K5 II Седан,"2016 г., 2 л., автомат седан, газ руль слева, 119 000 км","$ 12 900
                                                                                                                                         
                                                                                                                                                                                         1 133 652 сом",https://im.mashina.kg/tachka/images//0/b/7/0b75af0867cb0bd5897a33147e396fff_240x180.jpg
3,Toyota Crown,"2005 г., 3.5 л., автомат седан, бензин руль справа, 182 000 км","$ 14 900
                                                                                                                                         
                                                                                                                                                                                         1 309 412 сом",https://im.mashina.kg/tachka/images//6/4/1/641a14b8d85bef8189425280e8e6862c_240x180.jpg
3,Hyundai Sonata,"2016 г., 2.4 л., автомат седан, бензин руль слева, 143 000 км","$ 14 500
                                                                                                                                         
                                                                                                                                                                                         1 274 260 сом",https://im.mashina.kg/tachka/images//c/7/b/c7b9925ca35326d7fb89028f77e92a47_240x180.jpg
3,Volvo S40,"2007 г., 1.8 л., механика седан, бензин руль слева, 192 000 км","$ 6 200
                                                                                                                                         
                                                                                                                                                                                         544 856 сом",https://im.mashina.kg/tachka/images//f/9/1/f9199652f1ed08f399d125295e587607_240x180.jpg
3,BMW X7,"2019 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 55 000 км","$ 100 000
                                                                                                                                         
                                                                                                                                                                                         8 788 000 сом",https://im.mashina.kg/tachka/images//2/2/8/228ab07152265ba8da5465ff502087e6_240x180.jpg
3,Porsche Panamera,"2011 г., 4.8 л., робот хэтчбек 5 дв., бензин руль слева, 150 000 км","$ 30 500
                                                                                                                                         
                                                                                                                                                                                         2 680 340 сом",https://im.mashina.kg/tachka/images//2/f/e/2fe887d6decea99c8ff7190e55f8fdd1_240x180.jpg
3,Honda Civic,"2012 г., 1.8 л., автомат седан, бензин руль слева, 8 800 км","$ 11 000
                                                                                                                                         
                                                                                                                                                                                         966 680 сом",https://im.mashina.kg/tachka/images//8/9/0/890177ce1b3d56ad7ddee45481bb1880_240x180.jpg
3,Lexus ES,"2021 г., 2.5 л., автомат седан, бензин руль слева, 25 000 км","$ 40 999
                                                                                                                                         
                                                                                                                                                                                         3 602 992 сом",https://im.mashina.kg/tachka/images//7/9/f/79fe9d1a9a540bee14645c7a7dc3b7f4_240x180.jpg
3,Toyota Camry,"2021 г., 2.5 л., автомат седан, бензин руль слева, 39 750 км","$ 27 500
                                                                                                                                         
                                                                                                                                                                                         2 416 700 сом",https://im.mashina.kg/tachka/images//4/d/d/4dda66d270cb284a0d05d1a4254de9d4_240x180.jpg
